"id_zone","geom"
"6072","{""type"":""MultiPolygon"",""coordinates"":[[[[3.488048, 47.43748],[3.476779, 47.40961],[3.435702, 47.40983],[3.41557, 47.39068],[3.437076, 47.34473],[3.400094, 47.33932],[3.370278, 47.31678],[3.362409, 47.30588],[3.394317, 47.26736],[3.390263, 47.21985],[3.456011, 47.17758],[3.51048, 47.18311],[3.519698, 47.19053],[3.533601, 47.20149],[3.550993, 47.21166],[3.555906, 47.20423],[3.604992, 47.21715],[3.596598, 47.22804],[3.599433, 47.25297],[3.576703, 47.27913],[3.555126, 47.344],[3.528164, 47.37253],[3.511526, 47.43491],[3.488048, 47.43748]]]]}"
"6073","{""type"":""MultiPolygon"",""coordinates"":[[[[4.081806, 47.34175],[4.060146, 47.34122],[4.028313, 47.32496],[4.021409, 47.3112],[4.002076, 47.31063],[3.9663, 47.34774],[3.96171, 47.36653],[3.908797, 47.38206],[3.8721, 47.36578],[3.859871, 47.3874],[3.89338, 47.4103],[3.892328, 47.41917],[3.879909, 47.42982],[3.867041, 47.43462],[3.84667, 47.4218],[3.84786, 47.41238],[3.84223, 47.41057],[3.835702, 47.40651],[3.831402, 47.39266],[3.828062, 47.38205],[3.81048, 47.3839],[3.801697, 47.38963],[3.780118, 47.37992],[3.770703, 47.36028],[3.757645, 47.34673],[3.876264, 47.3081],[3.867944, 47.27388],[3.877381, 47.25549],[3.924298, 47.22445],[3.919872, 47.21052],[3.892253, 47.18516],[3.881921, 47.17886],[3.899346, 47.16774],[3.94464, 47.16033],[3.958826, 47.14303],[3.999708, 47.15793],[4.008698, 47.1797],[4.041707, 47.17612],[4.067887, 47.14747],[4.087247, 47.13008],[4.094528, 47.12893],[4.110325, 47.11821],[4.109088, 47.13262],[4.174671, 47.14757],[4.196896, 47.14762],[4.208248, 47.15392],[4.213048, 47.17386],[4.229308, 47.19335],[4.225766, 47.20708],[4.219922, 47.2155],[4.192247, 47.23435],[4.173161, 47.24982],[4.135477, 47.23741],[4.11654, 47.27617],[4.114099, 47.30814],[4.136102, 47.35031],[4.134744, 47.35717],[4.112913, 47.33417],[4.106275, 47.3352],[4.094605, 47.33688],[4.081806, 47.34175]]]]}"
"6074","{""type"":""MultiPolygon"",""coordinates"":[[[[3.479112, 47.49378],[3.446439, 47.51187],[3.390423, 47.50915],[3.355506, 47.47875],[3.3453, 47.47857],[3.34469, 47.46747],[3.286383, 47.41587],[3.301983, 47.38732],[3.27495, 47.39047],[3.271118, 47.38424],[3.253434, 47.37948],[3.249095, 47.36202],[3.304437, 47.33278],[3.307277, 47.32156],[3.370278, 47.31678],[3.400094, 47.33932],[3.437076, 47.34473],[3.41557, 47.39068],[3.435702, 47.40983],[3.476779, 47.40961],[3.488048, 47.43748],[3.461656, 47.44656],[3.475118, 47.48389],[3.479112, 47.49378]]]]}"
"6075","{""type"":""MultiPolygon"",""coordinates"":[[[[2.958645, 47.55739],[2.904871, 47.55622],[2.845183, 47.54494],[2.888454, 47.50944],[2.897791, 47.48205],[2.931935, 47.43947],[2.91906, 47.40643],[2.869755, 47.33875],[2.983083, 47.26081],[2.979118, 47.22872],[3.009289, 47.17992],[3.028284, 47.12844],[3.031366, 47.09248],[3.019345, 47.06817],[3.063815, 47.04609],[3.075459, 47.01812],[3.062772, 46.97866],[3.079343, 46.96025],[3.118497, 46.95999],[3.125844, 46.96349],[3.121986, 46.98826],[3.11935, 46.99597],[3.107603, 47.01116],[3.112615, 47.0168],[3.114973, 47.02528],[3.126018, 47.04266],[3.08159, 47.06095],[3.070873, 47.08594],[3.067689, 47.10364],[3.074802, 47.12258],[3.049709, 47.14356],[3.060156, 47.19095],[3.039874, 47.21824],[3.010915, 47.23069],[3.036487, 47.26221],[3.032933, 47.27856],[2.983915, 47.28154],[2.947885, 47.30985],[2.960037, 47.32998],[2.934964, 47.35489],[2.969922, 47.3669],[2.944732, 47.40364],[2.94535, 47.41133],[2.998548, 47.42255],[2.982758, 47.44198],[2.982813, 47.45741],[2.987086, 47.47079],[2.989773, 47.48431],[2.977716, 47.49791],[2.973841, 47.51134],[2.958645, 47.55739]]]]}"
"6076","{""type"":""MultiPolygon"",""coordinates"":[[[[3.881921, 47.17886],[3.876481, 47.17556],[3.84079, 47.16384],[3.829232, 47.14672],[3.840184, 47.13753],[3.857027, 47.13164],[3.860043, 47.12648],[3.874227, 47.12269],[3.876793, 47.11518],[3.920858, 47.11216],[3.924039, 47.08647],[3.898427, 47.05285],[3.908419, 47.03396],[3.944478, 47.01627],[3.944842, 46.99332],[3.982265, 46.9721],[3.990371, 46.96037],[3.997462, 46.95766],[4.003172, 46.94039],[4.01734, 46.93132],[4.030698, 46.92379],[4.028598, 46.91968],[4.036186, 46.92704],[4.03953, 46.94142],[4.055721, 46.95675],[4.031635, 46.98482],[4.009575, 46.97097],[4.002158, 46.98621],[4.056819, 47.01375],[4.055987, 47.0371],[4.073494, 47.05588],[4.049716, 47.07589],[4.05375, 47.09504],[4.048035, 47.10974],[4.089893, 47.11619],[4.094959, 47.12196],[4.087247, 47.13008],[4.067887, 47.14747],[4.041707, 47.17612],[4.008698, 47.1797],[3.999708, 47.15793],[3.958826, 47.14303],[3.94464, 47.16033],[3.899346, 47.16774],[3.881921, 47.17886]]]]}"
"6077","{""type"":""MultiPolygon"",""coordinates"":[[[[3.490543, 46.89689],[3.469822, 46.8571],[3.486239, 46.8335],[3.55586, 46.81978],[3.590905, 46.83029],[3.655388, 46.80761],[3.684921, 46.79687],[3.689089, 46.84298],[3.744133, 46.82414],[3.75493, 46.83296],[3.759383, 46.8402],[3.786596, 46.85011],[3.801158, 46.86716],[3.806715, 46.89777],[3.816309, 46.92014],[3.781184, 46.96194],[3.768974, 46.98665],[3.784816, 47.00116],[3.780613, 47.00684],[3.783015, 47.01491],[3.736855, 47.02313],[3.704045, 47.04971],[3.693177, 47.07026],[3.643699, 47.06359],[3.637462, 47.07787],[3.634064, 47.07409],[3.625859, 47.07463],[3.605234, 47.06006],[3.597808, 47.05501],[3.583449, 47.04608],[3.581714, 47.03368],[3.588889, 47.02821],[3.622911, 47.01474],[3.620427, 46.9768],[3.670915, 46.96655],[3.693524, 46.9437],[3.691811, 46.8856],[3.678762, 46.87851],[3.666129, 46.87654],[3.618575, 46.90187],[3.602127, 46.88397],[3.521455, 46.89091],[3.497299, 46.89363],[3.490543, 46.89689]]]]}"
"6078","{""type"":""MultiPolygon"",""coordinates"":[[[[3.307046, 47.49473],[3.285231, 47.50395],[3.23626, 47.48824],[3.211509, 47.51209],[3.191177, 47.52042],[3.181849, 47.51833],[3.165171, 47.51751],[3.167011, 47.51196],[3.134374, 47.47279],[3.0873, 47.4745],[3.025571, 47.46139],[3.010999, 47.48383],[2.987086, 47.47079],[2.982813, 47.45741],[2.982758, 47.44198],[2.998548, 47.42255],[2.94535, 47.41133],[2.944732, 47.40364],[2.969922, 47.3669],[2.934964, 47.35489],[2.960037, 47.32998],[2.947885, 47.30985],[2.983915, 47.28154],[3.032933, 47.27856],[3.036487, 47.26221],[3.010915, 47.23069],[3.039874, 47.21824],[3.060156, 47.19095],[3.049709, 47.14356],[3.074802, 47.12258],[3.067689, 47.10364],[3.099778, 47.10406],[3.155295, 47.15901],[3.19147, 47.17863],[3.227754, 47.21834],[3.200111, 47.24324],[3.22371, 47.26439],[3.262881, 47.25594],[3.29007, 47.28392],[3.241355, 47.31917],[3.262345, 47.33583],[3.305405, 47.32414],[3.304437, 47.33278],[3.249095, 47.36202],[3.253434, 47.37948],[3.271118, 47.38424],[3.27495, 47.39047],[3.301983, 47.38732],[3.286383, 47.41587],[3.34469, 47.46747],[3.346458, 47.4697],[3.307046, 47.49473]]]]}"
"6079","{""type"":""MultiPolygon"",""coordinates"":[[[[3.099778, 47.10406],[3.070873, 47.08594],[3.08159, 47.06095],[3.126018, 47.04266],[3.114973, 47.02528],[3.112615, 47.0168],[3.107603, 47.01116],[3.150475, 47.00655],[3.199186, 47.0012],[3.24354, 47.01202],[3.244143, 47.00796],[3.258901, 47.01338],[3.264269, 47.00893],[3.304564, 47.01076],[3.339707, 47.03043],[3.326204, 47.0753],[3.391956, 47.09397],[3.417771, 47.09373],[3.434108, 47.10986],[3.423422, 47.11972],[3.496134, 47.1232],[3.465454, 47.16237],[3.456011, 47.17758],[3.390263, 47.21985],[3.394317, 47.26736],[3.362409, 47.30588],[3.305405, 47.32414],[3.262345, 47.33583],[3.241355, 47.31917],[3.29007, 47.28392],[3.262881, 47.25594],[3.22371, 47.26439],[3.200111, 47.24324],[3.227754, 47.21834],[3.19147, 47.17863],[3.155295, 47.15901],[3.099778, 47.10406]]]]}"
"6080","{""type"":""MultiPolygon"",""coordinates"":[[[[3.785633, 47.39033],[3.786422, 47.40476],[3.740553, 47.39651],[3.716676, 47.40305],[3.683929, 47.43387],[3.666993, 47.4459],[3.579332, 47.46572],[3.580614, 47.49787],[3.552444, 47.50244],[3.513508, 47.52767],[3.511023, 47.55068],[3.49203, 47.56],[3.495465, 47.54989],[3.492172, 47.49927],[3.475118, 47.48389],[3.461656, 47.44656],[3.488048, 47.43748],[3.511526, 47.43491],[3.528164, 47.37253],[3.555126, 47.344],[3.576703, 47.27913],[3.599433, 47.25297],[3.596598, 47.22804],[3.604992, 47.21715],[3.595156, 47.20934],[3.61974, 47.17956],[3.63743, 47.14999],[3.652551, 47.14545],[3.669127, 47.15975],[3.677589, 47.17107],[3.693616, 47.1658],[3.715862, 47.16131],[3.760409, 47.14242],[3.769596, 47.13092],[3.779543, 47.10862],[3.841665, 47.10152],[3.853922, 47.10348],[3.867631, 47.12439],[3.857027, 47.13164],[3.840184, 47.13753],[3.829232, 47.14672],[3.84079, 47.16384],[3.876481, 47.17556],[3.892253, 47.18516],[3.919872, 47.21052],[3.924298, 47.22445],[3.877381, 47.25549],[3.867944, 47.27388],[3.876264, 47.3081],[3.757645, 47.34673],[3.770703, 47.36028],[3.780118, 47.37992],[3.785633, 47.39033]]]]}"
"6081","{""type"":""MultiPolygon"",""coordinates"":[[[[3.079343, 46.96025],[3.050303, 46.91064],[3.066853, 46.88224],[3.058887, 46.82628],[3.032598, 46.80022],[3.049979, 46.7572],[3.084331, 46.73741],[3.129787, 46.72721],[3.165748, 46.69173],[3.204438, 46.67876],[3.234227, 46.69738],[3.223622, 46.72859],[3.226445, 46.75304],[3.193466, 46.77007],[3.159891, 46.75372],[3.136901, 46.75698],[3.127788, 46.75151],[3.109089, 46.76298],[3.081184, 46.78449],[3.093373, 46.80847],[3.121083, 46.8082],[3.127242, 46.8306],[3.103005, 46.88241],[3.120577, 46.91783],[3.121817, 46.92628],[3.118497, 46.95999],[3.079343, 46.96025]]]]}"
