Nom de domaine;Pays BE;Departement BE;Ville BE;Nom BE;Sous domaine;Type du titulaire;Pays titulaire;Departement titulaire;Domaine IDN;Date de création;Année;Date de retrait du WHOIS
ara.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;08/01/2016;2016;
bfc.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;08/01/2016;2016;
lrmp.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;08/01/2016;2016;
npdcp.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;08/01/2016;2016;
devenirenseignant.gouv.fr;FR;59;VILLENEUVE D'ASCQ;AVENIR TELEMATIQUE;gouv.fr;ORG;FR;75;0;12/01/2016;2016;
encasdattaque.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;21/01/2016;2016;
stopdjihadisme.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;21/01/2016;2016;
tarifs-bancaires.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;25/01/2016;2016;
tousunicontrelahaine.gouv.fr;FR;72;SAINT SATURNIN;DIGITAL RURAL INFORMATIQUE;gouv.fr;ORG;FR;75;0;28/01/2016;2016;02/02/2016
guadeloupe.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;29/01/2016;2016;
mayotte.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;29/01/2016;2016;
tousuniscontrelahaine.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;01/02/2016;2016;
chorus-pro.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;93;0;03/02/2016;2016;
embauche-pme.gouv.fr;FR;72;SAINT SATURNIN;DIGITAL RURAL INFORMATIQUE;gouv.fr;ORG;FR;75;0;17/02/2016;2016;
embauchepme.gouv.fr;FR;72;SAINT SATURNIN;DIGITAL RURAL INFORMATIQUE;gouv.fr;ORG;FR;75;0;17/02/2016;2016;
api.gouv.fr;FR;59;ROUBAIX;OVH;gouv.fr;ORG;FR;75;0;24/02/2016;2016;
beta.gouv.fr;FR;59;ROUBAIX;OVH;gouv.fr;ORG;FR;75;0;24/02/2016;2016;
famille-enfance-droitsdesfemmes.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;26/02/2016;2016;
feddf.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;26/02/2016;2016;
familles-enfance-droitsdesfemmes.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;04/03/2016;2016;
aide-aux-victimes.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;15/03/2016;2016;
egalite-citoyennete-participez.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;17/03/2016;2016;
xn--galit-citoyennet-participez-9ncfl.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;17/03/2016;2016;
bloctel.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;23/03/2016;2016;
100projetspourleclimat.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;19/04/2016;2016;
chequeenergie.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;21/04/2016;2016;
portail-immo.gouv.fr;FR;75;PARIS 15;ORANGE;gouv.fr;ORG;FR;93;0;21/04/2016;2016;
onpe.gouv.fr;FR;59;ROUBAIX;OVH;gouv.fr;ORG;FR;75;0;17/05/2016;2016;
alerte-saip.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;18/05/2016;2016;
agencedunumerique.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;07/06/2016;2016;
appli-alerte-saip.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;08/06/2016;2016;
appli-saip.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;08/06/2016;2016;
registre-coproprietes.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;21/06/2016;2016;
registre-coproprietes-notaires.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;21/06/2016;2016;
guide-victimes.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;28/06/2016;2016;
moncompteactivite.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;04/07/2016;2016;
segur.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;07/07/2016;2016;
encadrementdesloyers.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;21/07/2016;2016;
grand-est.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;11/08/2016;2016;
hauts-de-france.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;11/08/2016;2016;
nouvelle-aquitaine.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;11/08/2016;2016;
occitanie.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;11/08/2016;2016;
biodiversite-en-action.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;29/08/2016;2016;
registre-coproprietes-secure.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;29/08/2016;2016;
sexismepasnotregenre.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;31/08/2016;2016;
electiontpe.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;07/09/2016;2016;
concours-cartographie.gouv.fr;FR;92;BOULOGNE-BILLANCOURT;INTEGRA;gouv.fr;ORG;FR;93;0;12/09/2016;2016;13/10/2017
prelevementalasource.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;27/09/2016;2016;
garde-nationale.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;28/09/2016;2016;
xn--moncompteactivit-qqb.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;30/09/2016;2016;
signalement-sante.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;07/11/2016;2016;
transparence-logement-social.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;14/11/2016;2016;
autisme.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;28/11/2016;2016;
coeurdeville.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;02/12/2016;2016;
voeux2017.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;06/12/2016;2016;
diplome.gouv.fr;FR;59;VILLENEUVE D'ASCQ;AVENIR TELEMATIQUE;gouv.fr;ORG;FR;75;0;09/12/2016;2016;
diplomes.gouv.fr;FR;59;VILLENEUVE D'ASCQ;AVENIR TELEMATIQUE;gouv.fr;ORG;FR;75;0;09/12/2016;2016;
snds.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;28/12/2016;2016;
guyane.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;03/01/2017;2017;
designation-prudhommes.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;19/01/2017;2017;
alim-confiance.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;20/01/2017;2017;
mesdroitssociaux.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;25/01/2017;2017;
trouvermonmaster.gouv.fr;FR;59;VILLENEUVE D'ASCQ;AVENIR TELEMATIQUE;gouv.fr;ORG;FR;75;0;25/01/2017;2017;
louer-abordable.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;31/01/2017;2017;
ensap.gouv.fr;FR;75;PARIS 15;ORANGE;gouv.fr;ORG;FR;93;0;14/02/2017;2017;
tourisme-handicap.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;16/02/2017;2017;
xn--libertgalitfraternit-g2bafj.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;1;17/02/2017;2017;
liberteegalitefraternite.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;20/02/2017;2017;
engagement-civique.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;28/02/2017;2017;
xn--libertegalitfraternit-g5bgj.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;1;28/02/2017;2017;
hcts.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;21/03/2017;2017;
agence-francaise-anticorruption.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;24/03/2017;2017;
afa.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;28/03/2017;2017;
cybermalveillance.gouv.fr;FR;92;CLICHY-LA-GARENNE;OXYD SARL;gouv.fr;ORG;FR;75;0;28/03/2017;2017;
martinique.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;04/04/2017;2017;
wallis-et-futuna.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;04/04/2017;2017;
secnumacademie.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;12/05/2017;2017;
egalite-femmes-hommes.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;19/05/2017;2017;
solidarites-sante.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;19/05/2017;2017;
xn--galit-femmes-hommes-9ybf.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;19/05/2017;2017;
xn--solidarits-sant-jnbg.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;19/05/2017;2017;
cohesion-territoires.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;23/05/2017;2017;
ecologique-solidaire.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;29/05/2017;2017;
jscs.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;30/05/2017;2017;
ecologie-solidaire.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;13/06/2017;2017;
transports.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;28/06/2017;2017;
datara.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;69;0;05/07/2017;2017;
eg-alimentation.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;13/07/2017;2017;
egalimentation.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;13/07/2017;2017;
assisesdelamobilite.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;17/08/2017;2017;
plan-climat.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;17/08/2017;2017;
planclimat.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;17/08/2017;2017;
cyberveille-sante.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;12/09/2017;2017;
xn--assisesdelamobilit-swb.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;20/09/2017;2017;
consultation-economie-circulaire.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;11/10/2017;2017;
comu.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;26/10/2017;2017;
datatourisme.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;26/10/2017;2017;
forum-action-publique.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;26/10/2017;2017;
conference-territoires.gouv.fr;FR;92;BOULOGNE-BILLANCOURT;INTEGRA;gouv.fr;ORG;FR;75;0;06/11/2017;2017;
irma-reconstruction.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;06/11/2017;2017;
reconstruction.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;06/11/2017;2017;
societenumerique.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;09/11/2017;2017;
lheo.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;10/11/2017;2017;
monprojetpourlaplanete.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;14/11/2017;2017;
voeux2018.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;14/11/2017;2017;
voeux2019.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;14/11/2017;2017;
tour-des-startups.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;16/11/2017;2017;
stationnement.gouv.fr;FR;59;SECLIN CEDEX;WORLDLINE;gouv.fr;ORG;FR;75;0;17/11/2017;2017;
fps.gouv.fr;FR;59;SECLIN CEDEX;WORLDLINE;gouv.fr;ORG;FR;75;0;20/11/2017;2017;
plan-entreprises.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;24/11/2017;2017;
primealaconversion.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;11/12/2017;2017;
pacte-entreprises.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;21/12/2017;2017;
mer-littoral2030.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;11/01/2018;2018;
merlittoral2030.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;11/01/2018;2018;
lutte-pauvrete.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;12/01/2018;2018;
reforme-retraite.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;19/01/2018;2018;
reforme-retraites.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;19/01/2018;2018;
francenum.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;25/01/2018;2018;
cipdr.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;31/01/2018;2018;
egalite-handicap.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;02/02/2018;2018;
xn--galit-handicap-9jbf.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;1;02/02/2018;2018;
xn--rforme-retraite-bnb.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;27/02/2018;2018;
xn--rforme-retraites-bqb.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;27/02/2018;2018;
tchap.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;09/03/2018;2018;
assisesdutransportaerien.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;13/03/2018;2018;
prelevement-a-la-source.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;19/03/2018;2018;
projets-environnement.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;19/03/2018;2018;
xn--cologique-solidaire-9yb.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;27/03/2018;2018;
transparenceoutremer-guyane.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;30/03/2018;2018;
aquoiserventmesimpots.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;04/04/2018;2018;
limitesmaritimes.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;29;0;06/04/2018;2018;
maritimelimits.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;29;0;06/04/2018;2018;
def.gouv.fr;FR;75;PARIS;Société Française du Radiotéléphone - SFR;gouv.fr;ORG;FR;75;0;11/04/2018;2018;
contributions-villesterritoires.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;12/04/2018;2018;
consultation-plan-biodiversite.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;14/05/2018;2018;
ephoto.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;30/05/2018;2018;
attention-feu-foret.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;29/06/2018;2018;
attention-feux-foret.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;29/06/2018;2018;
nos-demarches.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;29/06/2018;2018;
nosdemarches.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;29/06/2018;2018;
commande-publique-numerique.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;03/07/2018;2018;
cigeo.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;16/07/2018;2018;
grands-defis.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;18/07/2018;2018;
pluie-inondation.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;26/07/2018;2018;
villesterritoires-minecraft.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;27/08/2018;2018;
francestrategie.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;03/09/2018;2018;
service-national-universel.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;05/09/2018;2018;
grande-cause-quinquennat.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;10/09/2018;2018;
investirdanslessolidarites.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;11/09/2018;2018;
signalement-violences-sexuelles-sexistes.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;02/10/2018;2018;
centre-documentation-segur.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;03/10/2018;2018;
francaisdeletranger.gouv.fr;FR;92;CLICHY-LA-GARENNE;OXYD SARL;gouv.fr;ORG;FR;75;0;08/10/2018;2018;
securitedesagentsdesroutes.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;08/10/2018;2018;
transparenceoutremer-mayotte.gouv.fr;FR;59;ROUBAIX;OVH;gouv.fr;ORG;FR;97;0;22/10/2018;2018;
glyphosate.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;23/10/2018;2018;
brexit.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;02/11/2018;2018;
antibiotiques.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;06/11/2018;2018;
antibiotique.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;07/11/2018;2018;
transition-ecologique.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;15/11/2018;2018;
consultation-ecophyto2plus.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;16/11/2018;2018;
centre-documentation-spm.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;22/11/2018;2018;
lesmetiersen2030.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;11/12/2018;2018;
dgcl.gouv.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;gouv.fr;ORG;FR;75;0;13/12/2018;2018;
primealaconversion-chaudieres.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;24/01/2019;2019;
bail-mobilite.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;28/01/2019;2019;
voxusagers.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;31/01/2019;2019;
territoires-industrie.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;01/02/2019;2019;
place-emploi-public.gouv.fr;FR;75;PARIS;ORDIPAT;gouv.fr;ORG;FR;75;0;12/02/2019;2019;
amenagement-numerique.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;13/02/2019;2019;
formationgestiondecrise.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;27/02/2019;2019;
xn--bail-mobilit-meb.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;1;27/02/2019;2019;
oups.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;01/03/2019;2019;
prime-chaudieres.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;14/03/2019;2019;
jechangemavoiture.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;25/03/2019;2019;
boss.gouv.fr;FR;49;ANGERS;NAMESHIELD;gouv.fr;ORG;FR;75;0;26/03/2019;2019;
facilhabitat.gouv.fr;FR;38;GRENOBLE;BUSINESS & DECISION INTERACTIVE EOLAS;gouv.fr;ORG;FR;75;0;16/04/2019;2019;
notre-dame.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;16/04/2019;2019;
rebatirnotredame.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;16/04/2019;2019;
abonnement-presse.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;17/04/2019;2019;
rebuildnotredame.gouv.fr;FR;75;PARIS;GANDI;gouv.fr;ORG;FR;75;0;17/04/2019;2019;
