,time,latitude,longitude,frpfire,fire_range
1030728,2023-07-03T00:00:00,61.35,112.85,1.2361327873782884,1-5
1030969,2023-07-03T00:00:00,61.35,136.95,5.620781413300918,5-10
1031213,2023-07-03T00:00:00,61.35,161.35,1.394949137207231,1-5
1034695,2023-07-03T00:00:00,61.25,149.55,6.830566787804358,5-10
1034696,2023-07-03T00:00:00,61.25,149.65,1.2815088873294158,1-5
1038297,2023-07-03T00:00:00,61.15,149.75,2.1868352686123878,1-5
1038304,2023-07-03T00:00:00,61.15,150.45,1.296146338926551,1-5
1045488,2023-07-03T00:00:00,60.95,148.85,2.50885920374942,1-5
1045489,2023-07-03T00:00:00,60.95,148.95,1.9211655221243369,1-5
1048968,2023-07-03T00:00:00,60.85,136.85,6.907413408689333,5-10
1048969,2023-07-03T00:00:00,60.85,136.95,2.149509767039685,1-5
1049088,2023-07-03T00:00:00,60.85,148.85,5.604680216544068,5-10
1049089,2023-07-03T00:00:00,60.85,148.95,3.361490759282699,1-5
1049090,2023-07-03T00:00:00,60.85,149.05,1.1592861664933132,1-5
1063372,2023-07-03T00:00:00,60.45,137.25,2.3683396684168976,1-5
1066966,2023-07-03T00:00:00,60.35,136.65,1.1329387536184647,1-5
1070582,2023-07-03T00:00:00,60.25,138.25,2.985308253236255,1-5
1070682,2023-07-03T00:00:00,60.25,148.25,4.326830692113937,1-5
1077840,2023-07-03T00:00:00,60.05,144.05,1.4000722452662302,1-5
1077877,2023-07-03T00:00:00,60.05,147.75,1.8172396157846578,1-5
1077878,2023-07-03T00:00:00,60.05,147.85,2.8301512663065935,1-5
1077917,2023-07-03T00:00:00,60.05,151.75,1.1870973245278762,1-5
1077918,2023-07-03T00:00:00,60.05,151.85,3.100212248273788,1-5
1081343,2023-07-03T00:00:00,59.95,134.35,2.875527366257721,1-5
1081477,2023-07-03T00:00:00,59.95,147.75,2.331014166844195,1-5
1081479,2023-07-03T00:00:00,59.95,147.95,2.0946193235504182,1-5
1081504,2023-07-03T00:00:00,59.95,150.45,1.072193329490343,1-5
1084960,2023-07-03T00:00:00,59.85,136.05,1.5713304289527414,1-5
1085037,2023-07-03T00:00:00,59.85,143.75,2.6501106116617983,1-5
