date-heure,nombre_signatures
2025-07-18 17:25:18,222900
2025-07-18 17:25:18,222900
2025-07-18 15:35:31,224388
2025-07-18 16:00:01,228487
2025-07-18 17:00:01,237950
2025-07-18 18:00:02,247709
2025-07-18 19:00:01,257651
2025-07-18 20:00:01,266539
2025-07-18 21:00:01,276133
2025-07-18 22:00:02,286777
2025-07-18 23:00:02,294841
2025-07-19 00:00:01,298311
2025-07-19 01:00:02,300093
2025-07-19 02:00:01,301338
2025-07-19 03:00:02,302432
2025-07-19 04:00:01,304051
2025-07-19 05:00:01,308164
2025-07-19 06:00:02,318710
2025-07-19 07:00:02,333832
2025-07-19 08:00:01,355496
2025-07-19 09:00:01,378354
2025-07-19 10:00:02,401114
2025-07-19 11:00:01,425211
2025-07-19 12:00:02,448314
2025-07-19 13:00:02,472324
2025-07-19 14:00:02,500049
2025-07-19 15:00:02,520486
2025-07-19 16:00:01,545833
2025-07-19 17:00:02,577941
2025-07-19 18:00:01,608594
2025-07-19 19:00:01,634274
2025-07-19 20:00:02,659057
2025-07-19 21:00:01,681807
2025-07-19 22:00:02,699133
2025-07-19 23:00:01,708910
2025-07-20 00:00:02,712963
2025-07-20 01:00:02,714932
2025-07-20 02:00:01,716020
2025-07-20 03:00:01,717013
2025-07-20 04:00:01,718254
2025-07-20 05:00:01,721594
2025-07-20 06:00:02,731082
2025-07-20 07:00:01,752195
2025-07-20 08:00:01,783489
2025-07-20 09:00:02,815709
2025-07-20 10:00:01,847324
2025-07-20 11:00:01,877366
2025-07-20 12:00:02,905348
2025-07-20 13:00:01,932761
2025-07-20 14:00:01,957565
2025-07-20 15:00:02,981126
2025-07-20 16:00:02,1004433
2025-07-20 17:00:01,1031876
2025-07-20 18:00:02,1059384
2025-07-20 19:00:02,1081253
2025-07-20 20:00:01,1109218
2025-07-20 21:00:02,1136324
2025-07-20 22:00:02,1154693
2025-07-20 23:00:01,1161779
2025-07-21 00:00:02,1164450
2025-07-21 01:00:01,1165723
2025-07-21 02:00:01,1166657
2025-07-21 03:00:02,1167695
2025-07-21 04:00:01,1169397
2025-07-21 05:00:02,1174928
2025-07-21 06:00:02,1191051
2025-07-21 07:00:01,1216288
2025-07-21 08:00:01,1246510
2025-07-21 09:00:01,1275313
2025-07-21 10:00:01,1302842
2025-07-21 11:00:01,1326011
2025-07-21 12:00:01,1353351
2025-07-21 13:00:02,1375170
2025-07-21 14:00:01,1393447
2025-07-21 15:00:01,1409676
2025-07-21 16:00:02,1427922
2025-07-21 17:00:01,1449347
2025-07-21 18:00:02,1470443
2025-07-21 19:00:02,1493617
2025-07-21 20:00:02,1513919
2025-07-21 21:00:01,1531627
2025-07-21 22:00:01,1542276
2025-07-21 23:00:01,1546265
2025-07-22 00:00:02,1547663
2025-07-22 01:00:01,1548377
2025-07-22 02:00:01,1548947
2025-07-22 03:00:01,1549482
2025-07-22 04:00:01,1550482
2025-07-22 05:00:02,1553628
2025-07-22 06:00:02,1561929
2025-07-22 07:00:01,1577125
2025-07-22 08:00:02,1592743
2025-07-22 09:00:01,1606359
2025-07-22 10:00:02,1618875
2025-07-22 11:00:01,1630163
2025-07-22 12:00:02,1642386
2025-07-22 13:00:02,1652392
2025-07-22 14:00:01,1662904
2025-07-22 15:00:01,1672985
2025-07-22 16:00:01,1683791
2025-07-22 17:00:02,1693549
2025-07-22 18:00:01,1702771
2025-07-22 19:00:02,1711051
2025-07-22 20:00:01,1720114
2025-07-22 21:00:01,1727824
2025-07-22 22:00:01,1732931
2025-07-22 23:00:02,1735100
2025-07-23 00:00:02,1735889
2025-07-23 01:00:02,1736299
2025-07-23 02:00:01,1736604
2025-07-23 03:00:02,1736917
2025-07-23 04:00:01,1737412
2025-07-23 05:00:02,1738926
2025-07-23 06:00:01,1743265
2025-07-23 07:00:02,1750137
2025-07-23 08:00:02,1758156
2025-07-23 09:00:01,1766048
2025-07-23 10:00:01,1772783
2025-07-23 11:00:01,1778931
2025-07-23 12:00:02,1786605
2025-07-23 13:00:01,1793302
2025-07-23 14:00:01,1799377
2025-07-23 15:00:01,1805452
2025-07-23 16:00:01,1811367
2025-07-23 17:00:01,1818016
2025-07-23 18:00:02,1824407
2025-07-23 19:00:01,1830335
2025-07-23 20:00:01,1836137
2025-07-23 21:00:02,1841251
2025-07-23 22:00:01,1844611
2025-07-23 23:00:02,1846151
2025-07-24 00:00:02,1846736
2025-07-24 01:00:01,1847090
2025-07-24 02:00:01,1847334
2025-07-24 03:00:01,1847595
2025-07-24 04:00:01,1847983
2025-07-24 05:00:01,1849195
2025-07-24 06:00:01,1851989
2025-07-24 07:00:01,1856593
2025-07-24 08:00:01,1861857
2025-07-24 09:00:01,1867418
2025-07-24 10:00:02,1872591
2025-07-24 11:00:02,1876810
2025-07-24 12:00:01,1880925
2025-07-24 13:00:01,1884996
2025-07-24 14:00:01,1888869
2025-07-24 15:00:01,1892734
2025-07-24 16:00:01,1896187
2025-07-24 17:00:02,1899522
2025-07-24 18:00:02,1902793
2025-07-24 19:00:02,1905956
2025-07-24 20:00:02,1909310
2025-07-24 21:00:01,1912134
2025-07-24 22:00:01,1913808
2025-07-24 23:00:02,1914559
2025-07-25 00:00:01,1914872
2025-07-25 01:00:01,1915030
2025-07-25 02:00:01,1915139
2025-07-25 03:00:01,1915253
2025-07-25 04:00:01,1915423
