"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2023","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"J3024010",48.6159572,-4.0763622,44.7,"site",2023-09-04,"Le Guillec à Trézilidé",279.142857142857,272.8,2.32509426057807,"0 et 15%","#eff3ff","+2,3%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+2,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3205710",48.5312782,-4.3616252,24.7,"site",2023-09-04,"[L'Aber Wrac'h (branche ouest)] au Drennec",154.428571428571,157.238095238095,-1.78679588128421,"inf à 0%","#feedde","-1,8%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-1,8%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3213020",48.5241771,-4.4067225,26.9,"site",2023-09-04,"L'Aber Benoît à Plabennec",160.428571428571,162.804761904762,-1.45953376817137,"inf à 0%","#feedde","-1,5%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-1,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3323020",48.455648,-4.6809645,94.25,"site",2023-09-04,"L'Aber Ildut à Brélès et à Plouarzel",439.857142857143,440.580952380952,-0.1642852510753,"inf à 0%","#feedde","-0,2%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-0,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3403020",48.3845663,-3.9999765,9.5,"site",2023-09-04,"L'Elorn à Commana",116.142857142857,72.3952380952381,60.4288627244621,"sup à 50%","#9ecae1","+60,4%","Débit moyen au 4 septembre 2023: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+60,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3404110",48.3971817,-3.994065,8.64,"site",2023-09-04,"[Le ruisseau de Mougau Bihan] à Commana",91.2857142857143,74.5142857142857,22.5076687116565,"sup à 15%","#c6dbef","+22,5%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+22,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3413030",48.4694264,-4.2201373,260.5,"site",2023-09-04,"L'Elorn à Plouédern",1985.71428571429,1784.34761904762,11.2851702502984,"0 et 15%","#eff3ff","+11,3%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+11,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3514010",48.3869026,-4.2146089,66.4,"site",2023-09-04,"La Mignonne à Irvillac",440.857142857143,319.819047619048,37.845805663917,"sup à 15%","#c6dbef","+37,8%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+37,8%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3601810",48.3891944,-3.6676795,117.6,"site",2023-09-04,"L'Aulne à Poullaouen",261.142857142857,235.214285714286,11.0233829334951,"0 et 15%","#eff3ff","+11,0%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+11,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3624010",48.3541815,-3.8724212,35.1,"site",2023-09-04,"L'Ellez à Loqueffret",117.285714285714,577.916256157635,-79.70541353768,"inf à -60%","#e6550d","-79,7%","Débit moyen au 4 septembre 2023: <span style='background: #e6550d; display: inline-block; padding: 2px; padding-bottom:0'>-79,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3713010",48.3210051,-3.5102238,258.5,"site",2023-09-04,"L'Hyère à Trébrivan",724.857142857143,489.271428571429,48.1503109579841,"sup à 15%","#c6dbef","+48,2%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+48,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3733010",48.22374,-3.6552069,525.8,"site",2023-09-04,"Le canal de Nantes à Brest à Cléden-Poher et à Saint-Hernin",1348.14285714286,1881.58095238095,-28.3505259002053,"inf à -15%","#fdbe85","-28,4%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-28,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J3811810",48.1650329,-3.8615344,1224.8,"site",2023-09-04,"L'Aulne à Châteauneuf-du-Faou",4102.42857142857,3253.41428571429,26.0961012386985,"sup à 15%","#c6dbef","+26,1%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+26,1%</span> par rapport à la moyenne 1990-2020 à cette période."
