date-heure,url,nombre_signatures
2025-10-07 22:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15740
2025-10-07 23:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170558
2025-10-07 23:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15746
2025-10-08 00:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170566
2025-10-08 00:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15748
2025-10-08 01:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170569
2025-10-08 01:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15749
2025-10-08 02:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170572
2025-10-08 02:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15753
2025-10-08 03:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170575
2025-10-08 03:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15753
2025-10-08 04:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170579
2025-10-08 04:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15759
2025-10-08 05:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170588
2025-10-08 05:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15761
2025-10-08 06:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170612
2025-10-08 06:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15767
2025-10-08 07:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170647
2025-10-08 07:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15773
2025-10-08 08:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170684
2025-10-08 08:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15780
2025-10-08 09:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170706
2025-10-08 09:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15794
2025-10-08 10:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170725
2025-10-08 10:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15804
2025-10-08 11:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170751
2025-10-08 11:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15821
2025-10-08 12:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170774
2025-10-08 12:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15827
