"date","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
2023-01-01,45.5830388692579,61.6197183098592,33.0985915492958,13.3802816901408,16.1971830985915,59.8591549295775,54.8042704626335,58.7044534412955,50,22.5409836065574,35.3909465020576,26.0330578512397,63.75
2023-01-02,46.643109540636,60.4240282685512,34.1549295774648,11.9718309859155,17.3144876325088,59.0106007067138,56.2277580071174,56.6801619433198,52.8688524590164,23.3606557377049,34.9794238683128,25.2066115702479,65
2023-01-03,48.0565371024735,59.0106007067138,34.1549295774648,11.9718309859155,17.9577464788732,56.6901408450704,55.8718861209964,54.251012145749,54.5081967213115,24.1803278688525,36.6255144032922,23.9669421487603,66.25
2023-01-04,48.0565371024735,57.9505300353357,34.982332155477,12.3239436619718,17.9577464788732,55.9859154929577,55.5160142348754,53.4412955465587,56.9672131147541,24.5901639344262,37.037037037037,21.4876033057851,65.8333333333333
2023-01-05,48.4098939929329,55.8303886925795,35.5633802816901,11.6197183098592,16.1971830985915,55.2816901408451,57.2953736654804,51.417004048583,59.0163934426229,25,38.6831275720165,21.5767634854772,65.8333333333333
2023-01-06,46.2897526501767,57.0422535211268,34.8591549295775,11.6197183098592,17.2535211267606,53.169014084507,58.0071174377224,49.7975708502024,60.2459016393443,24.5901639344262,39.917695473251,22.4066390041494,67.9166666666667
2023-01-07,46.2897526501767,56.6901408450704,35.5633802816901,11.6197183098592,17.9577464788732,49.6478873239437,58.3629893238434,47.7732793522267,60.655737704918,25.4098360655738,41.5637860082305,23.2365145228216,66.25
2023-01-08,46.2897526501767,55.9859154929577,35.9154929577465,12.3239436619718,19.434628975265,48.943661971831,58.7188612099644,46.9635627530364,60.2459016393443,27.4590163934426,41.9753086419753,21.9917012448133,62.9166666666667
2023-01-09,47.1631205673759,57.0422535211268,35.5633802816901,12.3239436619718,20.4946996466431,47.887323943662,59.4306049822064,44.1295546558704,61.8852459016393,27.8688524590164,43.6213991769547,20.746887966805,59.5833333333333
2023-01-10,45.9363957597173,58.4507042253521,35.2112676056338,12.3239436619718,20.4225352112676,45.5830388692579,58.0071174377224,43.7246963562753,61.8852459016393,29.0983606557377,46.0905349794239,19.5020746887967,60.8333333333333
2023-01-11,44.5229681978799,59.8591549295775,34.8591549295775,13.3802816901408,19.0140845070423,41.5492957746479,58.3629893238434,44.9392712550607,63.1147540983607,30.7377049180328,46.5020576131687,20.3319502074689,60
2023-01-12,43.1095406360424,59.8591549295775,33.0985915492958,13.7809187279152,19.0812720848057,38.0281690140845,58.3629893238434,45.3441295546559,66.3934426229508,32.3770491803279,46.5020576131687,20.746887966805,58.3333333333333
2023-01-13,42.756183745583,60.5633802816901,33.4507042253521,14.4366197183099,18.0851063829787,36.6197183098592,58.7188612099644,44.5344129554656,67.2131147540984,32.3770491803279,45.679012345679,20.746887966805,60
2023-01-14,42.7046263345196,61.6197183098592,33.6879432624113,14.4366197183099,18.0212014134276,36.0424028268551,59.4306049822064,46.1538461538462,65.983606557377,32.3770491803279,41.5637860082305,21.5767634854772,57.5
2023-01-15,43.4628975265018,60.9929078014184,33.2155477031802,14.4366197183099,15.9010600706714,37.6760563380282,60.8540925266904,44.5344129554656,66.8032786885246,34.4262295081967,40.7407407407407,22.4066390041494,55.4166666666667
2023-01-16,44.5229681978799,63.7323943661972,34.1549295774648,14.1342756183746,14.7887323943662,38.0281690140845,61.5658362989324,42.5101214574899,66.3934426229508,35.2459016393443,37.4485596707819,23.2365145228216,51.25
2023-01-17,45.0354609929078,66.5492957746479,34.1549295774648,14.1342756183746,14.0845070422535,38.0281690140845,61.5658362989324,41.7004048582996,67.2131147540984,36.0655737704918,34.9794238683128,25.7261410788382,49.1666666666667
2023-01-18,44.5229681978799,66.9014084507042,31.4487632508834,14.7887323943662,12.7208480565371,39.5759717314488,60.7142857142857,42.1052631578947,68.4426229508197,36.8852459016393,34.5679012345679,26.5560165975104,49.5833333333333
2023-01-19,45.2296819787986,67.6056338028169,29.9295774647887,14.4366197183099,12.3239436619718,40.2826855123675,60.1423487544484,41.7004048582996,68.0327868852459,37.7049180327869,32.5102880658436,27.3858921161826,49.1666666666667
2023-01-20,45.0354609929078,66.5492957746479,27.208480565371,14.7887323943662,11.9718309859155,41.5492957746479,60.4982206405694,40.080971659919,70.0819672131148,38.1147540983607,31.2757201646091,28.2157676348548,49.5833333333333
2023-01-21,48.5815602836879,66.1971830985916,27.5618374558304,15.4929577464789,12.0141342756184,42.2535211267606,60.1423487544484,39.2712550607287,70.4918032786885,38.5245901639344,31.6872427983539,29.4605809128631,49.1666666666667
2023-01-22,50.8833922261484,66.5492957746479,28.2685512367491,15.4929577464789,13.0281690140845,42.756183745583,62.6334519572954,36.4372469635627,70.0819672131148,38.9344262295082,29.2181069958848,31.9502074688797,50.4166666666667
2023-01-23,50.530035335689,67.6056338028169,27.8169014084507,16.5492957746479,14.4366197183099,44.7183098591549,63.3451957295374,35.2226720647773,68.4426229508197,39.344262295082,27.5720164609053,33.195020746888,51.6666666666667
2023-01-24,51.2367491166078,67.6056338028169,28.8732394366197,15.1408450704225,15.547703180212,45.7746478873239,64.0569395017794,35.6275303643725,69.672131147541,39.344262295082,27.9835390946502,35.6846473029046,52.9166666666667
2023-01-25,51.2367491166078,68.3098591549296,29.6819787985866,14.4366197183099,15.8450704225352,46.4788732394366,64.0569395017794,34.0080971659919,71.3114754098361,39.344262295082,27.9835390946502,37.344398340249,51.6666666666667
